,horizon,mse,rmse,mae,mape,coverage
139,176 days 00:00:00.000000000,5555.698634448093,74.53655904620291,53.442116659715424,0.21255773855522175,0.4623893805309736
140,177 days 00:00:00.000000000,5643.028706311263,75.12009522299118,54.066187370863496,0.2149888562118754,0.4563843236409608
141,178 days 00:00:00.000000000,5797.670321800637,76.14243443573785,55.19347333700055,0.21930921516275725,0.44943109987357766
142,179 days 00:00:00.000000000,5768.063452334099,75.94776792200084,55.563606755800336,0.22032039206328471,0.44247787610619466
143,180 days 00:00:00.000000000,5783.756323451958,76.05101132432073,56.15514658369665,0.22222103665815351,0.43299620733249045
144,181 days 00:00:00.000000000,6016.473261017992,77.56592848034498,57.524902295575515,0.22793077430980258,0.42477876106194684
145,182 days 00:00:00.000000000,6214.741981183781,78.83363483427478,58.493838229675696,0.23239895213284356,0.42035398230088494
146,183 days 00:00:00.000000000,6352.164249990447,79.70046580786368,59.21072852112876,0.23548967480682204,0.418141592920354
147,184 days 00:00:00.000000000,6446.42472608934,80.28963025253846,59.91600517486828,0.23812207998841003,0.41024020227560065
148,185 days 00:00:00.000000000,6587.165599017287,81.16135533009097,60.97929799933846,0.24200057605983752,0.39970501474926257
149,186 days 00:00:00.000000000,6510.25068611321,80.68612449556126,60.919988619765675,0.24112261618296169,0.3982300884955753
150,187 days 00:00:00.000000000,6626.202082848989,81.40148698180512,62.013476912038435,0.24498747580027158,0.38748419721871047
151,188 days 00:00:00.000000000,6871.641122082374,82.89536248839481,63.41229603734517,0.2508341345093188,0.38053097345132747
152,189 days 00:00:00.000000000,7062.848892184799,84.04075732753007,64.30617557755248,0.2548236742512162,0.37831858407079666
153,190 days 00:00:00.000000000,7139.41353424297,84.49505035351461,64.86556172604837,0.257136362197399,0.37104930467762326
154,191 days 00:00:00.000000000,7245.076878773161,85.11801735692133,65.8447751248277,0.26112020032531136,0.36135693215339243
155,192 days 00:00:00.000000000,7376.963619877107,85.88925206262485,66.93853382746344,0.2652288804017221,0.35271807838179514
156,193 days 00:00:00.000000000,7404.29841174651,86.0482330541802,67.37961974807159,0.26639195370916036,0.35082174462705445
157,194 days 00:00:00.000000000,7549.602485397404,86.88844851530843,68.4619608738351,0.2700942933511996,0.34070796460176994
158,195 days 00:00:00.000000000,7791.084422305369,88.26711971229926,69.73518532507748,0.2753248573885777,0.33451327433628303
159,196 days 00:00:00.000000000,7840.0611753161165,88.54411993642557,69.98073200253658,0.2764963554929395,0.33480825958702065
160,197 days 00:00:00.000000000,7902.812800295605,88.89776600283949,70.513275514544,0.2789567563607102,0.32680151706700383
161,198 days 00:00:00.000000000,7999.169677382124,89.43807733500383,71.08107082977735,0.28171988048535906,0.32048040455120114
162,199 days 00:00:00.000000000,8130.763769732698,90.17074786056007,71.7934060224316,0.2844278906611137,0.3204804045512012
163,200 days 00:00:00.000000000,8107.425709931374,90.04124449346185,71.79016328588155,0.28365706721894607,0.3236409608091023
164,201 days 00:00:00.000000000,8229.989359361836,90.71928879440048,72.68001522754639,0.28654570214507874,0.31769911504424786
165,202 days 00:00:00.000000000,8256.049526615307,90.86280606835399,72.85274036854511,0.28707025466015434,0.3194690265486726
166,203 days 00:00:00.000000000,8393.076571272524,91.61373571289691,73.25975027501583,0.289419394977791,0.3259587020648968
167,204 days 00:00:00.000000000,8430.170834696575,91.81596176426284,73.4367782593403,0.2908222797704972,0.3305941845764855
168,205 days 00:00:00.000000000,8511.874640649163,92.25982137772196,74.05605099758131,0.2934128023044308,0.33038348082595864
169,206 days 00:00:00.000000000,8644.445439357787,92.97550989028126,74.94092000579413,0.29676865043850886,0.32616940581542353
170,207 days 00:00:00.000000000,8610.227823835292,92.79131329944249,75.14742390501749,0.29717966816838326,0.3255372945638433
171,208 days 00:00:00.000000000,8757.582007078752,93.58195342628167,76.10165927561994,0.3007290755421055,0.320480404551201
172,209 days 00:00:00.000000000,8967.266302008422,94.6956509139064,77.03518588877813,0.30493929265806224,0.31710914454277284
