date,open,high,low,close,volume
11/3/2015,171.92,174.95,171.902,172.95,644973
11/4/2015,173.32,173.525,169.39,170.12,508288
11/5/2015,170.58,173.18,169.5001,172.53,440145
11/6/2015,172.04,173.21,170.34,172.64,343061
11/9/2015,172.27,172.27,169.602,171.56,409423
11/10/2015,170.98,174.1,170.78,174.08,370605
11/11/2015,174.28,174.67,170.51,170.69,573189
11/12/2015,170.23,171.485,169.24,169.36,624658
11/13/2015,167.89,168,151.52,155.2,3011511
11/16/2015,154.34,160.42,154.2,159.48,1664495
11/17/2015,160.59,163.58,160.01,162.7,789856
11/18/2015,163.74,165.27,160.6201,164.99,547883
11/19/2015,165.24,165.75,163.25,164.5,536731
11/20/2015,165,170.54,164.462,170.51,788092
11/23/2015,170.77,173,169.575,170.84,727061
11/24/2015,169.78,172.19,169.37,170.83,646508
11/25/2015,170.01,171.01,169.17,170.11,710692
11/27/2015,170.59,171.84,169.88,170.98,353395
11/30/2015,173.01,174.49,165.84,167,1823511
